id,user_id,coupon_id,total_amount,status,created_at
1,20923,,0,completed,2025-01-19 21:55:38
2,5742,,0,completed,2025-06-22 08:18:53
3,38424,,0,completed,2026-07-10 02:59:12
4,7750,,0,completed,2025-11-09 02:55:19
5,46043,,0,completed,2025-03-28 20:33:45
6,9741,,0,completed,2025-12-04 21:21:30
7,2666,,0,completed,2025-01-15 04:06:27
8,45046,,0,completed,2026-03-25 12:58:32
9,32716,,0,completed,2025-11-11 19:13:59
10,520,,0,completed,2025-12-25 16:47:42
11,18129,,0,completed,2024-12-09 20:25:21
12,49966,,0,completed,2024-11-27 02:40:35
13,33725,,0,returned,2024-12-05 08:20:16
14,8802,,0,completed,2025-07-30 19:38:29
15,31323,,0,completed,2025-08-01 10:18:04
16,1189,,0,returned,2025-11-04 20:35:23
17,18531,,0,completed,2024-11-22 23:54:29
18,10923,,0,completed,2025-03-04 14:01:57
19,36575,,0,completed,2026-06-05 06:57:28
20,3778,,0,completed,2025-03-30 09:30:55
21,29812,,0,completed,2025-07-26 01:27:32
22,34341,,0,completed,2024-11-19 14:15:33
23,40219,,0,completed,2024-12-05 17:06:44
24,23410,,0,completed,2024-10-02 05:04:42
25,16471,,0,completed,2026-05-25 12:03:07
26,18208,,0,completed,2026-04-11 14:17:40
27,35316,,0,completed,2026-03-18 00:45:17
28,48862,,0,completed,2025-11-20 04:55:44
29,24420,,0,completed,2025-02-15 17:57:53
30,37429,,0,completed,2025-05-25 00:31:08
31,30070,,0,completed,2026-02-20 04:29:30
32,34016,,0,completed,2025-10-16 13:38:40
33,44309,,0,completed,2025-11-27 11:21:00
34,10979,,0,completed,2025-08-24 02:34:39
35,39605,,0,completed,2024-11-11 17:47:18
36,6217,,0,returned,2024-10-11 22:38:12
37,42877,,0,completed,2025-11-23 18:36:56
38,13249,,0,completed,2025-11-23 10:32:04
39,30358,,0,completed,2024-12-17 23:32:57
40,6256,,0,completed,2024-11-21 13:20:44
41,38461,,0,completed,2025-09-29 17:32:20
42,8411,,0,completed,2024-10-14 23:26:09
43,13611,,0,completed,2025-09-01 06:10:03
44,2596,,0,completed,2024-11-06 06:11:06
45,42379,,0,completed,2025-12-02 00:06:01
46,363,,0,cancelled,2024-12-05 14:28:01
47,45963,,0,completed,2024-10-02 03:48:22
48,18265,,0,completed,2025-12-18 20:03:10
49,4324,,0,completed,2026-02-04 05:37:20
50,21077,,0,completed,2026-08-27 02:31:58
51,19427,,0,completed,2025-12-08 15:43:12
52,37260,,0,completed,2024-12-23 21:32:13
53,42518,,0,completed,2025-02-28 08:34:01
54,27609,,0,completed,2024-12-04 00:47:10
55,23675,,0,completed,2025-12-24 10:44:26
56,47004,,0,completed,2025-05-23 17:55:35
